roi,sLNv1,sLNv2,sLNv3,sLNv4
AME(R),0,1,0,0
NotPrimary,7,5,8,12
PLP(R),22,21,23,17
PVLP(R),0,1,0,0
SLP(R),253,322,356,259
SMP(R),71,59,36,51
